   3.8511748e-07   3.2971139e-07   5.3034935e-04   8.4426296e-07   4.1994312e-07   3.6253650e-05
   2.4585633e-07   2.7501511e-07   1.2882401e-03   1.3360077e-06   1.3273574e-07   2.4145630e-05
   1.5088270e-07   1.9595028e-07   5.2930279e-04   4.0569428e-07   1.9382248e-05   1.4518277e-05
   9.4187215e-08   1.2755081e-07   6.3663479e-04   2.6478329e-07   1.4169224e-05   9.2922594e-06
   7.8493079e-08   7.4321488e-08   4.7178623e-04   9.7590195e-06   1.1246207e-06   9.3145505e-06
   1.0213818e-07   5.6352397e-08   1.4128841e-04   3.0187786e-07   1.7653512e-06   1.3555354e-05
   1.4992472e-07   7.1843722e-08   3.7114992e-04   1.9962079e-06   4.6525284e-08   1.9806850e-05
   2.0408401e-07   8.0947740e-06   3.0354814e-04   4.4033557e-07   2.9158103e-06   2.5386844e-05
   2.3941926e-07   1.2134029e-05   5.6606307e-04   2.0501638e-06   1.7193073e-05   2.8065603e-05
   2.4293566e-07   3.8713395e-05   1.6507764e-04   1.4084160e-05   1.2417972e-06   2.6927378e-05
   2.1454176e-07   4.1054453e-05   5.2690112e-04   5.8162638e-07   1.5359837e-06   2.2427779e-05
   1.6333284e-07   1.6205780e-05   1.5624267e-03   3.8005359e-06   1.4784868e-05   1.6127577e-05
   5.1017205e-06   3.3186117e-05   1.5022286e-03   1.7766143e-05   6.1515062e-08   1.0068138e-05
   1.3387178e-05   3.3439985e-05   1.9082791e-04   2.4453150e-07   9.3668459e-06   5.9869348e-06
   3.3024784e-06   3.0396655e-05   1.5972986e-03   8.0360969e-06   1.1685004e-05   4.7808636e-06
   3.1942474e-05   2.5953519e-05   1.9871999e-03   1.0596372e-05   1.3159103e-05   6.3002627e-06
   2.1929414e-05   9.3365707e-07   1.8235756e-03   1.4200928e-06   1.0725166e-05   9.5084590e-06
   1.1009563e-06   1.5705481e-07   8.2778704e-04   6.4698528e-07   4.7222342e-06   1.2926167e-05
   1.6848780e-06   1.4296903e-05   1.3423764e-03   1.4515461e-05   7.0266318e-06   1.5172813e-05
   1.1554640e-06   6.5349685e-06   5.8908467e-04   1.1391471e-07   1.4244080e-05   1.5421468e-05
   4.0926231e-07   2.3522578e-05   5.8421960e-04   1.5460966e-05   7.7719902e-07   1.3617844e-05
   2.5010950e-07   1.2682211e-05   2.1118908e-03   1.0962228e-05   1.1148493e-05   1.0414450e-05
   2.1652826e-07   1.0105263e-05   1.5511229e-03   3.4124762e-05   3.7384570e-06   6.8750920e-06
   1.0946163e-05   9.8789523e-06   2.7381264e-03   1.0012441e-05   9.6532574e-06   5.3979108e-06
